repeats,aggregate_full_beats_all_simpler_percent,mean_one_shot_full_only_labels,unsupported_full_only_percent,full_successes_repeat_unstable_percent
x5,96.3,3.65,72.6,52.3
x10,95.7,3.13,68.0,33.3
