domain,model,success,partial_pairs
Airline,Haiku,19/25,3/5
Airline,Doubao,25/25,0/5
Airline,GPT-4o-mini,15/25,5/5
Airline,Qwen,12/25,4/5
Retail,Haiku,10/10,0/2
Retail,Doubao,9/10,1/2
Retail,GPT-4o-mini,5/10,2/2
Retail,Qwen,5/10,2/2
Telecom,Haiku,14/25,1/5
Telecom,Doubao,21/25,2/5
Telecom,GPT-4o-mini,1/25,1/5
Telecom,Qwen,8/25,3/5
